iter	Passed	Remaining
0	69	69340
1	84	42245
2	95	31840
3	107	26667
4	118	23659
5	130	21599
6	141	20023
7	152	18947
8	164	18094
9	176	17435
10	188	16911
11	200	16496
12	211	16091
13	223	15741
14	231	15182
15	242	14925
16	254	14699
17	266	14526
18	278	14358
19	290	14213
20	301	14068
21	313	13936
22	325	13841
23	338	13752
24	350	13667
25	362	13580
26	374	13512
27	386	13425
28	398	13350
29	410	13285
30	423	13243
31	435	13187
32	447	13113
33	460	13093
34	475	13109
35	487	13050
36	499	12999
37	511	12945
38	523	12906
39	535	12854
40	547	12814
41	559	12770
42	572	12751
43	585	12713
44	597	12680
45	609	12650
46	621	12607
47	634	12580
48	646	12539
49	658	12508
50	670	12478
51	683	12453
52	695	12432
53	707	12402
54	720	12376
55	732	12354
56	745	12337
57	757	12303
58	770	12291
59	783	12271
60	794	12234
61	806	12207
62	818	12180
63	830	12148
64	842	12124
65	855	12101
66	868	12094
67	880	12061
68	891	12028
69	903	12007
70	916	11997
71	928	11968
72	940	11942
73	952	11919
74	964	11894
75	976	11868
76	987	11838
77	999	11820
78	1011	11795
79	1024	11778
80	1035	11753
81	1048	11735
82	1060	11721
83	1073	11705
84	1085	11686
85	1097	11668
86	1110	11649
87	1122	11629
88	1133	11607
89	1145	11582
90	1157	11563
91	1169	11544
92	1180	11516
93	1192	11489
94	1204	11470
95	1216	11451
96	1228	11434
97	1240	11413
98	1251	11390
99	1263	11370
100	1275	11351
101	1288	11343
102	1300	11322
103	1311	11302
104	1323	11283
105	1337	11278
106	1350	11268
107	1361	11247
108	1374	11233
109	1385	11211
110	1397	11195
111	1409	11175
112	1421	11159
113	1433	11139
114	1445	11124
115	1462	11142
116	1474	11126
117	1486	11107
118	1497	11089
119	1509	11073
120	1522	11060
121	1534	11043
122	1546	11030
123	1558	11013
124	1571	11000
125	1583	10981
126	1594	10962
127	1606	10945
128	1618	10928
129	1631	10916
130	1643	10899
131	1655	10885
132	1667	10867
133	1679	10851
134	1691	10838
135	1703	10822
136	1716	10814
137	1729	10801
138	1741	10786
139	1754	10777
140	1769	10778
141	1782	10769
142	1795	10757
143	1808	10750
144	1822	10745
145	1836	10742
146	1849	10730
147	1861	10715
148	1873	10702
149	1886	10688
150	1899	10681
151	1912	10668
152	1925	10659
153	1938	10647
154	1950	10632
155	1961	10613
156	1974	10599
157	1986	10585
158	1998	10570
159	2010	10553
160	2022	10537
161	2034	10524
162	2045	10505
163	2061	10509
164	2074	10496
165	2086	10481
166	2102	10485
167	2115	10476
168	2127	10460
169	2139	10448
170	2152	10433
171	2163	10417
172	2175	10401
173	2187	10386
174	2200	10373
175	2212	10359
176	2225	10345
177	2238	10336
178	2250	10321
179	2263	10309
180	2275	10294
181	2287	10281
182	2300	10269
183	2312	10256
184	2325	10243
185	2337	10229
186	2349	10214
187	2362	10203
188	2374	10190
189	2388	10184
190	2401	10171
191	2415	10165
192	2427	10151
193	2440	10138
194	2453	10130
195	2468	10124
196	2480	10110
197	2492	10094
198	2504	10080
199	2516	10066
200	2528	10051
201	2541	10039
202	2553	10024
203	2565	10009
204	2577	9995
205	2589	9979
206	2600	9963
207	2612	9948
208	2624	9934
209	2636	9919
210	2648	9905
211	2661	9891
212	2672	9875
213	2684	9861
214	2696	9847
215	2708	9832
216	2721	9818
217	2734	9808
218	2747	9797
219	2760	9786
220	2773	9775
221	2785	9760
222	2797	9746
223	2809	9732
224	2821	9718
225	2834	9708
226	2846	9694
227	2859	9682
228	2870	9665
229	2883	9651
230	2895	9637
231	2906	9622
232	2918	9607
233	2930	9591
234	2942	9578
235	2955	9566
236	2967	9552
237	2979	9538
238	2991	9524
239	3003	9510
240	3015	9497
