,Örneklem-1,Örneklem-2,Örneklem-3
appointment_year,0.032723893451542224,0.03446800319643133,0.03170219539138315
age,0.00659463238700595,0.00687166930485063,0.0064378008642274505
under_12_years_old,0.0015921537776777304,0.0015893083466899233,0.00156566502303545
over_60_years_old,0.0004635270865952758,0.0005025898820010999,0.0004096374549566732
patient_needs_companion,0.0017870729799721963,0.001726217263472162,0.0018433634757405119
average_temp_day,0.00972620328004691,0.01001085465976164,0.010699277442544343
average_rain_day,0.0035025683097784917,0.0034389437461874507,0.0034168418966709895
max_temp_day,0.00770260313509934,0.007645511807595241,0.007943646672595823
max_rain_day,0.0018970596128137292,0.0019051505115187514,0.001952217387658756
rainy_day_before,0.00031234448921030854,0.00026383273511000274,0.0002741304071964734
storm_day_before,0.00030824570916058064,0.00026153586744638807,0.00026462030110903817
age_nan,0.0,0.0,0.0
entry_service_date_nan,0.0,0.0,0.0
average_temp_day_nan,0.0,0.0,0.0
average_rain_day_nan,0.0,0.0,0.0
max_temp_day_nan,0.0,0.0,0.0
max_rain_day_nan,0.0,0.0,0.0
lead_time,0.014806681943279618,0.01542734652915686,0.015539842086928686
is_same_day,0.0001673186517702337,0.00014834238774990002,0.0001748972806305791
appointment_day_of_week,0.004519832570796901,0.004592833735241913,0.004700536128635016
is_weekend,0.00035533186743500107,0.00027332326646837976,0.0003714440650960691
appointment_hour,0.0065571695466331145,0.006359648863528487,0.006592619068684722
temp_range,0.007668828487806451,0.008375167941798229,0.008104417882525297
rain_range,0.0029409310109261644,0.00319362044279954,0.0033080769366019736
is_rainy,0.0005629405457437656,0.000575724641988315,0.0005565073694898459
specialty_Bilinmiyor,0.0019312871862527164,0.001591438982565166,0.00161657924670313
specialty_assist,9.72701506817304e-05,0.00013508402758786263,6.261668048918591e-05
specialty_enf,0.00018082902451863972,0.000258213477456733,0.0002279257198331935
specialty_occupational therapy,0.0013085881481273744,0.0013382198451921863,0.001560202439829514
specialty_pedagogo,0.001117625471971673,0.0013912702068580162,0.0011837929983927423
specialty_physiotherapy,0.0025427032729247617,0.002828906460675362,0.0023665531740003315
specialty_psychotherapy,0.0037522918422131673,0.0034225430503308303,0.0037255121001104567
specialty_sem especialidade,0.0003431866642330554,0.00022220610131941485,0.0005187525458190369
specialty_speech therapy,0.0031587115907407955,0.003386721045674724,0.003254509502032615
gender_F,0.002227401796103898,0.0020681453002738192,0.001989978183380336
gender_I,0.0,0.0,0.0
gender_M,0.0022332379304092847,0.0020083525951793,0.001938894900510665
disability_Bilinmiyor,0.0040666975951259435,0.003845712806979065,0.003153087140003049
disability_intellectual,0.0024683942234669325,0.002006224284290565,0.0021412005228134425
disability_motor,0.0011753343000035085,0.0011018947158304563,0.0011351866196677928
city_B. CAMBORIU,0.0025438441273365484,0.0026301152534308142,0.0023539954566174884
city_BALN. PIÇARRAS,0.0007729536298910229,0.0006739651157777018,0.0005619611179330772
city_BLUMENAU,6.368931710265361e-06,7.225870694160738e-06,6.456460815303651e-06
city_BOMBINHAS,0.001531928136880531,0.0015911172747273172,0.0014327318885073415
city_Bilinmiyor,0.0024504182920826473,0.0023867928239109638,0.0020483195098602645
city_CAMBORIU,0.0016389426546402498,0.0014536785403030294,0.0015435912384693382
city_ILHOTA,0.00045487526373002695,0.00043839772706387507,0.00047887133140337335
city_ITAJAÍ,0.0018453382417150822,0.0019403539765347202,0.0018929285775186454
city_ITAPEMA,0.0019316091084376694,0.001935885102107517,0.002045173905528344
city_LUIZ ALVES,0.0006658236189968641,0.0003829559059837629,0.0005953767235172668
city_MONTENEGRO,2.6628478698771313e-05,2.378762960906489e-05,2.433443473991586e-05
